code_rome,libelle
H1508,Assureur / Assureuse qualité industrie
H1515,Auditeur / Auditrice qualité en industrie
H1519,Responsable éthique-déontologie-conformité
K2406,Directeur / Directrice de recherche
N4106,Commis coursier / Commise coursière en douane
G1704,Agent / Agente de réservation en hôtellerie
H1224,Technicien / Technicienne de laboratoire de recherche-développement
H1517,Responsable de laboratoire de contrôle en industrie pharmaceutique
H1518,Responsable assurance qualité en industrie
G1610,Pâtissier / Pâtissière de restaurant
G1103,Directeur / Directrice de parc régional
N1203,Technicien / Technicienne gestion douanière
N4108,Chauffeur accompagnateur / Chauffeuse accompagnatrice de personnes à mobilité réduite
J1203,Directeur / Directrice de laboratoire d'analyses vétérinaires
G1221,Responsable des attractions
G1407,Économe en hôtellerie-restauration
N1304,Directeur / Directrice logistique
N1204,Coordinateur / Coordinatrice transit -import/export-
I1403,Technicien / Technicienne Datacenter
M1816,Technicien / Technicienne réseaux informatiques et télécoms
H1516,Expert / Experte métrologue
H1521,Technicien / Technicienne de validation-qualification
N4110,Releveur / Releveuse de compteurs
N4107,Conducteur livreur / Conductrice livreuse de béton prêt à l'emploi
N4111,Conducteur / Conductrice super poids lourd de l'armée
I1610,Responsable atelier carrosserie
G1224,Maître-nageur sauveteur / Maître-nageuse sauveteuse
D1215,Posticheur / Posticheuse
D1216,Coiffeur barbier / Coiffeuse barbière
H1304,Responsable environnement-hygiène-sécurité en industrie
H1306,Ingénieur / Ingénieure sûreté en industrie nucléaire
F1120,Économiste de la construction
N4113,Conducteur routier international / Conductrice routière internationale
H1305,Vérificateur / Vérificatrice de conformité industrielle
I1205,Installateur vérificateur / Installatrice vérificatrice d'extincteurs
H2416,Gainier industriel / Gainière industrielle
H2703,Technicien / Technicienne de maintenance de batteries de véhicules électriques
G1225,Ouvreur / Ouvreuse de salle de spectacles
M1409,Ingénieur / Ingénieure économiste en entreprise
M1819,Ingénieur / Ingénieure sécurité informatique
M1814,Scrum Master
M1818,Ingénieur / Ingénieure d'étude informatique
M1820,Expert / Experte méthodes et qualité informatique
M1815,Spécialiste test et validation logiciel ou application
M1840,Directeur / Directrice de projets des territoires connectés
D1419,Courtier / Courtière en vins
I1616,Mécanicien / Mécanicienne d'engins de chantier et de travaux publics
F1622,Monteur / Monteuse en éclairage public
F1623,Monteur / Monteuse installation réseaux mobiles
H2302,Conducteur / Conductrice de procédé de fabrication
H2303,Opérateur / Opératrice de fabrication en industrie pharmaceutique
I1313,Hydraulicien industriel / Hydraulicienne industrielle
I1316,"Technicien / Technicienne de maintenance Chauffage, Ventilation et Climatisation - CVC"
H2508,Ingénieur / Ingénieure exploitation nucléaire
H1225,Ingénieur / Ingénieure développement nucléaire
F1206,Chef / Cheffe d'équipe bâtiment
K2310,Ambassadeur / Ambassadrice du tri
H2607,Chef / Cheffe d'équipe d'atelier de bobinage en électricité
H2608,Bobinier / Bobinière en matériels électroniques
K1313,Employé / Employée au pair
M1827,Ingénieur / Ingénieure DevOps
A1209,Élagueur / Élagueuse
H1103,Responsable d'affaires en industrie
H1221,Responsable des partenariats de recherche
M1411,Responsable d'enquêtes
K1604,Directeur / Directrice d'établissement culturel
I1612,Technicien expert / Technicienne experte après-vente automobile
C1113,Expert / Experte en assurances dommages automobile
G1233,Préparateur mental / Préparatrice mentale du sport
N1113,Préparateur / Préparatrice au drive
M1835,Architecte systèmes et réseaux des territoires connectés
M1848,Analyste Concepteur / Conceptrice informatique
D1221,Vendeur / Vendeuse de produits culturels et ludiques
H1405,Responsable supply chain en industrie
N1112,Chef cariste / Cheffe cariste
N1206,Courtier / Courtière affrètement maritime
N1207,Chef / Cheffe de groupe affrètement
N4126,Chauffeur / Chauffeuse porte voitures
N4124,Conducteur / Conductrice de taxi moto
G1406,Directeur / Directrice d'équipement sportif
K1606,Responsable de la conservation préventive
G1408,Directeur / Directrice de structure d'hébergement touristique
H2606,Monteur-bobinier / Monteuse-bobinière en électricité
A1506,Soigneur animalier / Soigneuse animalière
A1426,Éducateur canin / Éducatrice canine
G1104,Consultant / Consultante tourisme
G1105,Directeur / Directrice d'office du tourisme
A1427,Goémonier / Goémonière
A1212,Chef / Cheffe d'équipe de travaux forestiers
K1211,Conseiller / Conseillère d'Insertion et de Probation -CIP-
H2420,Repasseur / Repasseuse en industrie textile et de l'habillement
H2427,Effileur / Effileuse en dentelles
M1817,Administrateur / Administratrice sécurité informatique
M1830,Administrateur / Administratrice réseaux - télécoms
M1834,Administrateur / Administratrice de site Web
G1414,Directeur / Directrice d'exploitation de site de divertissement
L1512,Régisseur / Régisseuse de spectacles
L1305,Directeur / Directrice artistique spectacle
D1222,Masseur / Masseuse bien-être
K1212,Ministre du culte
B1613,Orfèvre
B1615,Orfèvre tourneur repousseur / Orfèvre tourneuse repousseuse
E1207,Motion designer
D1217,Socio-coiffeur / Socio-coiffeuse
M1821,Analyste d'application informatique
M1824,Développeur / Développeuse décisionnel - Business Intelligence
M1831,Développeur / Développeuse - jeux vidéo
L1207,Cascadeur / Cascadeuse
I1312,Technicien / Technicienne réseaux mobiles
M1843,Administrateur / Administratrice de serveurs
M1849,Administrateur / Administratrice de messagerie
A1424,Pisciculteur / Piscicultrice
A1428,Algoculteur / Algocultrice
A1430,Ouvrier / Ouvrière aquacole
A1431,Ouvrier / Ouvrière piscicole
M1850,Architecte multimédias interactifs
M1837,Développeur / Développeuse multimédia
H3407,Metteur au bain / Metteuse au bain argenture - dorure en orfèvrerie
H3408,Metteur au point polisseur / Metteuse au point polisseuse sur matrice en orfèvrerie
H2104,Fromager industriel / Fromagère industrielle
G1228,Guide de haute montagne
I1104,Ingénieur / Ingénieure infrastructures télécoms réseaux mobiles
K2405,Attaché / Attachée de recherche clinique en milieu hospitalier
J1110,Médecin légiste
I1615,Dépanneur-remorqueur / Dépanneuse-remorqueuse de véhicules
I1617,Contrôleur / Contrôleuse technique de véhicules
G1222,Guide-conférencier / Guide-conférencière
G1106,Animateur / Animatrice du patrimoine
N4115,Conducteur / Conductrice de véhicules Super Lourds
N4116,Conducteur / Conductrice de camion-benne
M1842,Qualiticien / Qualiticienne logiciel en informatique
M1851,Analyste décisionnel - Business Intelligence
K2308,Opérateur / Opératrice de tri en récupération et revalorisation
H2426,Chef(fe) d'équipe en atelier de coupe
H2705,Pilote de ligne de production de composants et de cellules pour batteries de véhicules électriques
E1110,Community manager
E1111,Game master jeux online
K1723,Conducteur / Conductrice Véhicule Léger de l'armée
G1411,Directeur / Directrice d'hôtel
F1710,Magasinier / Magasinière en négoce des matériaux de construction
D1413,Délégué / Déléguée pharmaceutique
A1505,Animalier / Animalière de laboratoire
A1422,Caviste de chai
H1514,Chargé / Chargée de pharmacovigilance
N4118,Conducteur / Conductrice enlèvement de déchets
A1210,Ouvrier forestier / Ouvrière forestière
M1832,Homologateur / Homologatrice fonctionnel de logiciel
N1109,Éclusier-barragiste / Éclusière-barragiste
H2506,Chef / Cheffe de production en industrie agroalimentaire
H2507,Responsable de ligne de production industrielle
H1106,Responsable support technique clients
M1852,Analyste d'étude informatique
M1838,Urbaniste des systèmes d'information
M1853,Chef / Cheffe de projet étude et développement informatique
K1105,Art thérapeute
H2704,Technicien démonteur / Technicienne démonteuse de batteries de véhicules électriques
H2422,Tapissier industriel / Tapissière industrielle
I1614,Préparateur / Préparatrice en peinture automobile
H1219,Responsable opérationnel / Responsable opérationnelle des études cliniques
H1223,Coordinateur / Coordinatrice d'études cliniques
M1714,Chargé / Chargée de l'information promotionnelle du médicament
F1621,Ramoneur / Ramoneuse
K2407,Climatologue
K1906,Délégué / Déléguée à la protection des données - Data Protection Officer
G1706,Chef / Cheffe de réception en hôtellerie
I1107,Responsable d'atelier de mécanique parcs et jardins
I1618,Mécanicien / Mécanicienne en matériels motorisés de parcs et jardins
I1619,Mécanicien / Mécanicienne cycles
M1716,Responsable marketing digital
J1107,Médecin scolaire
J1109,Médecin de la Protection Maternelle et Infantile -PMI-
N4114,Conducteur livreur avitailleur / Conductrice livreuse avitailleuse en carburant
I1611,Préparateur / Préparatrice de véhicules automobiles
M1833,Ingénieur / Ingénieure sécurité web
M1856,Expert / Experte en cybersécurité
B1102,Mosaïste d'art
F1624,Staffeur Stuqueur / Staffeuse Stuqueuse
A1206,Concepteur / Conceptrice paysagiste
B1103,Sculpteur / Sculptrice ornemaniste sur pierre
A1213,Conducteur / Conductrice de travaux forestiers
H2417,Chef / Cheffe de rame textile
A1425,Ramendeur / Ramendeuse
N1108,Conducteur / Conductrice de grue mobile
J1204,Directeur / Directrice de laboratoire d'analyses de biologie médicale
M1611,Secrétaire Facturier / Facturière
M1825,Coordinateur / Coordinatrice de production web
G1227,Guide-interprète
I1506,Chef / Cheffe d'équipe cordiste
N4120,Chauffeur-livreur préparateur / Chauffeuse-livreuse préparatrice de commandes
M1613,Télésecrétaire
N1110,Magasinier / Magasinière
G1707,Responsable de vestiaire
M1836,Ingénieur concepteur / Ingénieure conceptrice informatique
G1409,Manager en restauration rapide
H2425,Fileur / Fileuse en industrie textile
K1711,Surveillant pénitentiaire / Surveillante pénitentiaire
N4122,Conducteur convoyeur / Conductrice convoyeuse de véhicule
N4125,Conducteur / Conductrice de transport animalier
G1708,Voiturier / Voiturière
N4131,Chauffeur / Chauffeuse de direction
M1616,Steward / Hôtesse au sol
N1115,Opérateur / Opératrice logistique en entrepôt
K1719,Chef / Cheffe de police municipale
N1116,Agent / Agente de quai réceptionnaire
K1210,Éducateur / Éducatrice de la protection judiciaire de la jeunesse
K1905,Huissier / Huissière de justice
M1612,Assistant / Assistante de service juridique
K2307,Agent / Agente de propreté urbaine
G1806,Chef sommelier / Cheffe sommelière
M1208,Responsable contrôle de gestion
M1209,Conseiller / Conseillère en gestion
A1429,Apiculteur / Apicultrice
K1712,Conducteur / Conductrice de véhicule de combat
K1713,Tireur / Tireuse d'engin blindé
K1714,Missilier / Missilière artillerie
M1828,Chef de projet / Cheffe de projet (Project Management Officer)
K1715,Officier / Officière des forces armées
M1826,Ingénieur / Ingénieure supervision IT Datacenter
M1839,Architecte systèmes et réseaux
K1908,Responsable de service contentieux et recouvrement
K2408,Mathématicien / Mathématicienne
K2409,Astronome
K2410,Astrophysicien / Astrophysicienne
L1513,Scénographe
G1611,Steward / Hôtesse de train
M1857,Urbaniste Datacenter
E1112,Chargé / Chargée de communication
N4123,Conducteur livreur installateur / Conductrice livreuse installatrice
M1615,Distributeur / Distributrice de prospectus et imprimés
G1231,Accompagnateur / Accompagnatrice en écotourisme
H2210,Tonnelier / Tonnelière
N2206,Pilote de drone
C1506,Responsable de projet immobilier
A1211,Chef / Cheffe d'équipe paysagiste
I1318,Instrumentiste Industriel / Industrielle
D1416,Commercial / Commerciale auprès d'une clientèle d'entreprises
D1218,Formateur coiffeur / Formatrice coiffeuse
K2115,Conseiller principal / Conseillère principale d'éducation
K2117,Inspecteur / Inspectrice de l'Éducation Nationale -IEN-
M1715,Directeur commercial / Directrice commerciale
D1417,Chef / Cheffe des ventes
M1841,Ingénieur informaticien / Ingénieure informaticienne
M1858,Chef / Cheffe de projet TMA - Tierce Maintenance Applicative
N4130,Conducteur / Conductrice de voiture radar à conduite externalisée
N1111,Conducteur / Conductrice de pont roulant
N1114,Conducteur / Conductrice d'engins lourds de manutention
K1724,Mécanicien / Mécanicienne d'engins blindés
I1620,Mécanicien-réparateur / Mécanicienne-réparatrice d'engins de levage et de manutention
K1718,Mécanicien / Mécanicienne de systèmes d'armes
E1113,E-commercial / E-commerciale
N1305,Ingénieur / Ingénieure logistique
N3204,Chef / Cheffe d'équipe de manutention portuaire
B1403,Restaurateur / Restauratrice de livres anciens
K2309,Technicien / Technicienne réutilisation recyclage
G1234,Musher guide de randonnée en traîneau
K1410,Directeur régional / Directrice régionale des services pénitentiaires
M1854,Administrateur / Administratrice réseau informatique
D1418,Négociant / Négociante en bois
M1614,Standardiste
I1105,Responsable de maintenance et d'exploitation
M1410,Responsable Green IT
M1413,Chargé / Chargée de mission RSE - Responsabilité Sociétale de l'Entreprise
D1219,Vendeur / Vendeuse conseil en jardinerie
F1117,Ingénieur / Ingénieure d'étude CVC
K1722,Conducteur / Conductrice d'autorité de l'armée
H1308,Animateur / Animatrice en Hygiène Sécurité Environnement (HSE)
F1126,Collaborateur / Collaboratrice d'architecte
H1309,Technicien / Technicienne en radioprotection
M1823,Consultant / Consultante avant-vente
D1420,Cadre Technico-commercial / Technico-commerciale
K2506,Convoyeur / Convoyeuse de fonds
K1607,Conservateur / Conservatrice des antiquités et objets d'art
H3305,Conducteur / Conductrice de machines de conditionnement
I1106,Responsable de maintenance réseaux des territoires connectés
D1109,Chef boucher / Cheffe bouchère
F1625,Monteur / Monteuse en agencement
M1210,Commissaire aux comptes
M1844,Analyste en cybersécurité
F1125,BIM Manager
F1116,Ingénieur / Ingénieure démantèlement nucléaire
I1504,Décontaminateur / Décontamineuse nucléaire et radiologique
I1505,Technicien / Technicienne déchet nucléaire
H2702,Conducteur / Conductrice de bloc nucléaire
I1507,Opérateur / Opératrice démantèlement nucléaire
K1720,Gardien / Gardienne de compagnie républicaine de sécurité
M1859,Chef / Cheffe de projet maîtrise d'œuvre informatique
G1107,Hôte / Hôtesse d'accueil et d'animation de croisière
H1108,Technicien / Technicienne support client en industrie
N4132,Agent commercial / Agente commerciale de conduite transport en commun
I1317,Technicien / Technicienne de maintenance fibre optique
I1319,Technicien / Technicienne de maintenance réseaux mobiles
H2917,Soudeur / Soudeuse MIG MAG
M1861,Développeur / Développeuse logiciel ou d'application
K1721,Technicien / Technicienne en investigation criminelle
B1614,Monteur / Monteuse en orfèvrerie
N4129,Conducteur / Conductrice de corbillard
F1207,Chef / Cheffe d'équipe travaux publics
H2211,Opérateur / Opératrice de sciage bois
G1232,Opérateur / Opératrice de parcours acrobatique dans les arbres
H1107,Directeur / Directrice assistance technique
A1507,Ostéopathe animalier / Ostéopathe animalière
M1845,Architecte IoT - Internet des Objets
M1846,Ingénieur / Ingénieure Cybersécurité Datacenter
K1208,Moniteur éducateur / Monitrice éducatrice
K1209,Coordonnateur / Coordonnatrice de projet socioéducatif
K2118,Directeur / Directrice d'école primaire
I1405,Administrateur / Administratrice bureautique
M1617,Médecin responsable de la Documentation et de l'Information Médicale (Médecin responsable -DIM-)
J1413,Physiothérapeute
J1511,Infirmier / Infirmière scolaire
M1412,Ergonome
J1512,Infirmier / Infirmière de santé au travail
M1855,Développeur / Développeuse web
G1410,Directeur / Directrice de la restauration
G1229,Guide-accompagnateur / Guide-accompagnatrice de pêche
K1708,Gardien / Gardienne de la paix
H1513,Responsable de pharmacovigilance
D1414,Responsable de zone internationale
H1406,Ingénieur / Ingénieure supply chain en industrie
H1105,Chef de projets santé / Cheffe de projets santé
N4109,Conducteur / Conductrice de car
N4119,Conducteur / Conductrice de tramway
N4127,Chauffeur accompagnateur / Chauffeuse accompagnatrice tourisme
I1404,Conseiller / Conseillère support technique informatique
K1717,Technicien électronicien / Technicienne électronicienne des armées
M1829,Ingénieur / Ingénieure systèmes et réseaux des territoires connectés
M1847,Expert / Experte en communication et réseaux
M1860,Architecte cloud
F1115,Vulcanologue
F1118,Sismologue
F1119,Pédologue
F1124,Hydrologue
F1123,Glaciologue
N4112,Chauffeur / Chauffeuse VTC
G1223,Animateur / Animatrice en site de divertissement
M1713,Responsable d'associations de patients
K1710,Officier de police judiciaire / Officière de police judiciaire
H1520,Ingénieur / Ingénieure assurance qualité en industrie
K2205,Agent / Agente de propreté de locaux
D1108,Chef boulanger / Cheffe boulangère
N1107,Chef / Cheffe d'équipe en déménagement
I1608,Démonteur / Démonteuse de véhicules hors d'usage
D1302,Responsable de boutique
D1220,Gérant / Gérante salon de coiffure
G1807,Gérant / Gérante de bar-tabac
G1808,Chef barman / Cheffe barmaid
G1705,Chef / Cheffe concierge d'hôtel
G1810,Chef / Cheffe de rang
G1805,"Gérant / Gérante de café, bar-brasserie"
N4128,Conducteur / Conductrice de navette de moins de 9 personnes
H1307,Responsable de la conformité industrielle
L1208,Mascotte-personnage
G1412,Directeur / Directrice de parc à thème
G1413,Directeur / Directrice de restaurant
I1320,Technicien / Technicienne de maintenance d'équipements connectés
I1609,Peintre automobile
G1230,Guide de tourisme équestre
H1522,Technicien / Technicienne en contrôles et essais non destructifs (CND END)
F1121,Architecte du patrimoine national
L1511,Technicien / Technicienne spectacle en site de divertissement
G1226,Chef / Cheffe de bassin
K1907,Commissaire-priseur / Commissaire-priseure
L1206,Cavalier / Cavalière de spectacle
M1506,Manager de proximité
H2424,Chef(fe) de ligne chromo en industrie textile
H3304,Chef / Cheffe de ligne conditionnement
H2915,Chef soudeur / Cheffe soudeuse
H2916,Soudeur / Soudeuse Tungsten Inert Gas -TIG-
I1314,Monteur installateur / Monteuse installatrice d'équipements connectés
I1315,Monteur raccordeur / Monteuse raccordeuse fibre optique
N4117,Conducteur / Conductrice d'attelage
N2207,Agent / Agente d'accompagnement du transport
M1414,Ingénieur statisticien / Ingénieure statisticienne
J1111,Gynécologue
G1108,Directeur / Directrice de pays d'accueil touristique
M1862,Responsable d'exploitation fibre optique
M1863,Evaluateur / Evaluatrice sécurité des systèmes et produits informatiques
H2421,Opérateur / Opératrice de fabrication de produits textiles
J1108,Médecin régulateur
M1507,Gestionnaire paie
H2423,Mécanicien / Mécanicienne industrie textile et de l'habillement
D1415,Chargé / Chargée de relation client
F1504,Charpentier / Charpentière de marine
N4121,Aide-livreur / Aide-livreuse
K1716,Chef / Cheffe de service pénitentiaire
