code_rome,libelle
F1606,Peintre en bâtiment
F1607,Menuisier / Menuisière aluminium
F1608,Carreleur / Carreleuse
F1609,Solier / Solière
F1610,"Installateur mainteneur / Installatrice mainteneuse en systèmes solaires, thermiques et photovoltaïques"
F1611,Façadier / Façadière
G1502,Employé / Employée d'hôtel
G1503,Gouvernant / Gouvernante d'hôtel
G1202,Animateur / Animatrice d'activités culturelles et de loisirs
G1203,Animateur / Animatrice auprès des jeunes
G1204,Éducateur sportif / Éducatrice sportive
G1205,Opérateur / Opératrice d'attraction
G1206,Croupier / Croupière
G1301,Chef / Cheffe de produit touristique
G1302,Yield manager
G1303,Agent / Agente de voyages
G1401,Adjoint / Adjointe de direction en hôtellerie-restauration
G1402,Directeur / Directrice d'établissement en hôtellerie-restauration
G1403,Directeur / Directrice de structure touristique
G1404,Responsable d'établissement de restauration collective
G1501,Employé / Employée d'étage
G1804,Sommelier / Sommelière
H1101,Ingénieur / Ingénieure support technique
H1207,Rédacteur / Rédactrice technique
H1208,Automaticien / Automaticienne en bureau d'études
H1209,Technicien / Technicienne études électroniques
H1210,Technicien / Technicienne R&D
H1301,Inspecteur / Inspectrice de conformité
H1302,Responsable Hygiène Sécurité Environnement (HSE) en industrie
H1401,Responsable ordonnancement-lancement-planification en industrie
G1601,Chef / Cheffe de cuisine
G1602,Commis / Commise de cuisine
G1603,Équipier polyvalent / Équipière polyvalente de restauration rapide
G1604,Pizzaïolo / Pizzaïola
G1605,Plongeur officier / Plongeuse officière de cuisine
G1701,Concierge d'hôtel
F1612,Tailleur / Tailleuse de pierre
F1613,Étancheur / Étancheuse
F1701,Coffreur / Coffreuse
F1702,Ouvrier / Ouvrière en voiries
F1703,Maçon / Maçonne
F1704,Manœuvre bâtiment
F1705,Poseur / Poseuse de canalisations
F1706,Armaturier / Armaturière de l'industrie du béton
G1101,Agent / Agente d'accueil touristique
G1102,Chargé / Chargée de promotion touristique
G1201,Guide-accompagnateur / Guide-accompagnatrice
F1401,Foreur / Foreuse
G1702,Bagagiste en établissement hôtelier
G1703,Réceptionniste
G1801,Barman / Barmaid
G1802,Maître / Maîtresse d'hôtel
G1803,Serveur / Serveuse en restauration
H1303,"Technicien / Technicienne en Hygiène, Sécurité, Environnement industriel (HSE)"
H1504,Contrôleur / Contrôleuse technique en électricité-électronique
H1505,Nez
H1506,Contrôleur / Contrôleuse technique en métallurgie
H2101,Ouvrier / Ouvrière d'abattoir
H2102,Conducteur / Conductrice de ligne en industrie alimentaire
H2201,Assembleur / Assembleuse d'ouvrages en bois
H2412,Patronnier / Patronnière
H2413,Opérateur / Opératrice de préparation en industrie textile
H2301,Conducteur / Conductrice de ligne en industrie chimique
H2401,"Opérateur / Opératrice de fabrication industrie des cuirs, peaux et matériaux associés"
H2402,Couturier industriel / Couturière industrielle de l'habillement
H2403,Conducteur / Conductrice de machines de fabrication de produits textiles
H2404,Conducteur / Conductrice de machine de production et transformation des fils
H2405,Conducteur / Conductrice de ligne de production de textiles non-tissés
H2406,Conducteur / Conductrice de machines de traitement textile
H2407,Opérateur / Opératrice sur machine de transformation et de finition des cuirs et peaux
H2408,Imprimeur / Imprimeuse textile
H2409,Coupeur / Coupeuse en industrie textile et matériaux souples
H2410,Opérateur / Opératrice de finition en industrie du textile
H2411,Monteur / Monteuse prototypiste cuir et matériaux souples
H2504,Chef / Cheffe d'équipe en industrie
H2505,Chef / Cheffe d'équipe et d'atelier textile
H2601,Bobinier / Bobinière en électricité
H2602,Câbleur / Câbleuse d'armoires
H2603,Opérateur / Opératrice sur machines automatisées en production électrique
H2604,Assembleur / Assembleuse en produits électriques et électroniques
H2605,Monteur-câbleur / Monteuse-câbleuse en électronique
I1202,Agent / Agente d'entretien de la voirie
I1203,Agent / Agente d'entretien du bâtiment
H2414,"Opérateur / Opératrice de préparation ou de finition sur articles de cuirs, peaux ou matériaux associés"
H2415,Contrôleur / Contrôleuse en industrie textile
H2501,Chef / Cheffe d'atelier production électricité-électronique
H2502,Responsable d'unité de production industrielle
H2503,Responsable d'îlot de production
I1201,Afficheur / Afficheuse
H2202,Conducteur / Conductrice de machines à bois
H2203,Machiniste en fabrications de panneaux de bois
H2204,Contremaître / Contremaîtresse en menuiserie
H2205,Ouvrier / Ouvrière de scierie
H2206,Menuisier / Menuisière
H2207,Ébéniste
H2208,Sculpteur / Sculptrice sur bois
H2209,Dessinateur / Dessinatrice de structures en bois
H1402,Ingénieur / Ingénieure méthodes et process
H1403,Gestionnaire de flux de production
H1404,Technicien / Technicienne méthodes
H1501,Ingénieur / Ingénieure d'analyse industrielle
H1502,Responsable qualité en industrie
H1503,Technicien / Technicienne de laboratoire en industrie
I1309,Électricien / Électricienne de maintenance
I1310,Mécanicien / Mécanicienne de maintenance industrielle
I1401,Technicien / Technicienne de maintenance en informatique
I1402,Technicien / Technicienne SAV
I1501,Cordiste
H2701,Technicien / Technicienne énergie
H2801,Agent / Agente de fabrication du verre
H2802,Opérateur / Opératrice de fabrication en matériaux de construction
H2803,Opérateur / Opératrice de production en céramique
H2804,Pilote de centrale de béton
H2805,Technicien / Technicienne de l'industrie du verre
H2901,Ajusteur-monteur / Ajusteuse-monteuse
H3303,Cuisinier / Cuisinière en industrie chimique
H3401,Opérateur / Opératrice de traitement d'abrasion de surface
H2911,Métallier / Métallière
H2912,Régleur / Régleuse d'équipements industriels
H2913,Soudeur / Soudeuse
H2914,Tuyauteur / Tuyauteuse
H3101,Conducteur / Conductrice de machines à papier ou carton
H3102,Conducteur / Conductrice d'installation de pâte à papier
H3201,Plasturgiste
H3202,Monteur régleur / Monteuse régleuse en plasturgie
H3203,Mouleur-stratifieur / Mouleuse-stratifieuse
